GE Unitized Spacemaker 2.3 cu. ft. Washer and 4.4 cu. ft. GAS Dryer,GE Appliances,--,"['Combined Washer and Dryer Unit Saves Space', 'Single Action Agitator', '11 Washer and 4 Dryer Cycles']",Item  1225154,Model  GUD24GSSMWW
GE Profile 7.8 cu. ft. Smart ELECTRIC Front Load Dryer with Steam and Sanitize Cycle,GE Profile,--,"['12 Dry Cycles', '5 Temperature Settings', 'Sanitize Cycle', 'Energy Star Certified']",Item  1653409,Model  PFD95ESPTDS
LG 4.3 cu. ft. Top Load Washer with Agitator and 7.3 cu. ft. GAS Dryer with Sensor Dry,LG,--,"['TurboDrum™ & 6Motion™ Technology', 'SmartDiagnosis™', 'LoDecibel™ Quiet Operation', 'Aluminized Alloy Steel Drum', 'ENERGY STAR® Certified']",Item  V100106,Model  WT7005CW | DLG7000W
LG 7.3 cu. ft. Ultra Large Capacity Wi-Fi Enabled Rear Control ELECTRIC Dryer with EasyLoad Door,LG,--,"[""2-year Manufacturer's Warranty"", 'EasyLoad™ Door', 'LoDecibel™ Quiet Operation', 'FlowSense™ Duct Clogging Indicator', 'Sensor Dry']",Item  1622944,Model  DLEX7480LE
LG 4.8 cu. ft. Mega Capacity Top Load Washer with 4-Way Agitator and TurboDrum Technology,LG,--,"['4-Way™ Agitator', 'TrueBalance™ Anti-Vibration System', 'SlamProof™ Lid']",Item  1622957,Model  WT7155CW
LG WashTower Single Unit with Center Control 5.0 cu. ft Washer and 7.4 cu. ft. ELECTRIC Dryer with TurboSteam,LG,--,"['AI DD 2.0 Advanced Washing', 'AI Sensor Dry and TurboSteam', 'Allergiene Cycle', 'ENERGY STAR® Certified', 'ThinQ® Technology with ThinQ Care']",Item  1732305,Model  WKEX300HBA
Maytag 4.5 cu. ft. Top Load Washer with Deep Fill Cycle Option,Maytag,--,"['Deep Fill Option', 'Quick Wash Cycle', 'Power™ Agitator', 'Auto Sensing']",Item  1694219,Model  MVW4505MW
GE Profile 5.3 cu. ft. Washer with UltraFresh Vent System and OdorBlock,GE Profile,--,"['1 Step Wash + Dry', 'Built-in WiFi', 'Microban Antimicrobial Technology', 'Ultra Fresh System with Odorblock']",Item  1653395,Model  PFW950SPTDS
"LG 4.5 cu. ft. Smart Front Load Washer with Turbowash 360, AI DD with ezDispense",LG,--,"['ezDispense® Automatic Dispenser', 'AAFA Certified LG Washer', 'Cold Wash Technology', 'ThinQ® Technology with ThinQ Care', 'ENERGY STAR® Certified']",Item  1756051,Model  WM5700HVA
,,,[],,
,,,[],,
Maytag Top Load 4.8 cu. ft. Washer with Deep Fill Option,Maytag,--,"['Deep Fill Option', 'Drawer Dispenser', 'Slow-Close Glass Lid', 'Extra Rinse Options']",Item  6660756,Model  MVW6200KW
Samsung 7.4 cu. ft. Smart GAS Dryer with Steam Sanitize,Samsung,--,"[""2-year Manufacturer's Warranty"", 'Steam Sanitize+ - Removes 95% of Pollen from Fabric, Relaxes Light Wrinkles, and Refreshes Clothing.', 'Wi-Fi Connectivity with SmartThings - Get End-of-cycle Alerts, and Remotely Start, Stop, or Delay Your Washer from Your Phone.', 'ENERGY STAR® Certified -  Eco-friendly and Energy Efficient.', 'Sensor Dry - Helps Prevent Overdrying for Optimal Fabric Care.']",Item  1805401,Model  DVG55CG7500E
Maytag 7.0 cu. ft. GAS Front Load Dryer with Moisture Sensing,Maytag,--,"['Wrinkle Control Cycle', 'Large 7.0 cu.ft Capacity', 'Drum Light']",Item  1491413,Model  MGD6200KW
LG 7.3 cu. ft. Rear Control GAS Dryer with Sensor Dry,LG,--,"['Sensor Dry', 'Aluminized Alloy Steel Drum', 'LoDecibel Quiet Operation', 'Smart Diagnosis', 'Wrinkle Care Option']",Item  1731771,Model  DLG7001W
Samsung Bespoke AI Laundry Combo All-in-One 5.3 cu. ft. Ultra Capacity Washer and Ventless Heat Pump Dryer,Samsung,--,"[""2-year Manufacturer's Warranty"", 'AI Laundry Combo™: Wash And Dry Your Laundry in One Machine Without Transferring Loads', 'Ultra Capacity With Super Speed: An Ultra Capacity Combo Washer And Dryer That Delivers Powerful Cleaning Performance in 98 Minutes', 'AI Opti Wash & Dry™: Adjusts Settings as Needed to Deliver A Better Wash and Dry', 'Flex Auto Dispense System: Automatically Dispense Up to 47 Loads Of Detergent or Flex to Dispense Up to 34 Loads of Softener And 25 Loads of Detergent']",Item  1805402,Model  WD53DBA900HZ
